siteID,time,target,score
CLBJ,2021-03-29,gcc_90,0.012723548049688903
CLBJ,2021-03-30,gcc_90,0.00883526836745757
CLBJ,2021-03-31,gcc_90,0.01090108289502116
CLBJ,2021-04-01,gcc_90,0.015696101324099196
CLBJ,2021-04-02,gcc_90,0.0179567692109664
CLBJ,2021-04-03,gcc_90,0.017443719213198774
CLBJ,2021-04-04,gcc_90,0.013461422689049336
DELA,2021-03-01,gcc_90,9.701695164053497e-4
DELA,2021-03-02,gcc_90,0.0019189014784839408
DELA,2021-03-03,gcc_90,0.006989591269777067
DELA,2021-03-04,gcc_90,0.0038442469551899644
DELA,2021-03-05,gcc_90,6.825418743551339e-4
DELA,2021-03-06,gcc_90,0.0020193818585777
DELA,2021-03-07,gcc_90,0.0027948345020526923
DELA,2021-03-08,gcc_90,0.0039163461663489375
DELA,2021-03-09,gcc_90,0.005186691649555179
DELA,2021-03-10,gcc_90,0.004613621472448661
DELA,2021-03-11,gcc_90,0.003971092112878135
DELA,2021-03-12,gcc_90,0.005059987649618423
DELA,2021-03-13,gcc_90,0.004515945777612608
DELA,2021-03-14,gcc_90,0.005267324044944297
DELA,2021-03-15,gcc_90,0.0036914679414083796
DELA,2021-03-16,gcc_90,0.003910462474253216
DELA,2021-03-17,gcc_90,0.004931646566007382
DELA,2021-03-18,gcc_90,0.01104211944926226
DELA,2021-03-19,gcc_90,0.01899091929543828
DELA,2021-03-20,gcc_90,0.025634158477073905
DELA,2021-03-21,gcc_90,0.03470794274318618
DELA,2021-03-22,gcc_90,0.033933483668754615
DELA,2021-03-23,gcc_90,0.03153185066641671
DELA,2021-03-24,gcc_90,0.038473130359315655
DELA,2021-03-25,gcc_90,0.0300076336835223
DELA,2021-03-26,gcc_90,0.03696523147485693
DELA,2021-03-27,gcc_90,0.03389593938947779
DELA,2021-03-28,gcc_90,0.029926484282089383
DELA,2021-03-29,gcc_90,0.03552740203809936
DELA,2021-03-30,gcc_90,0.03407080789892551
DELA,2021-03-31,gcc_90,0.02192173710220526
DELA,2021-04-01,gcc_90,0.029536848571721626
DELA,2021-04-02,gcc_90,0.03117211985073169
DELA,2021-04-03,gcc_90,0.03007360596509665
DELA,2021-04-04,gcc_90,0.027249625284677913
GRSM,2021-03-01,gcc_90,5.083131710361387e-4
GRSM,2021-03-02,gcc_90,0.00716830184450786
GRSM,2021-03-03,gcc_90,0.005847162083290414
GRSM,2021-03-04,gcc_90,0.00583222937480726
GRSM,2021-03-05,gcc_90,0.005407162083290418
GRSM,2021-03-06,gcc_90,NaN
GRSM,2021-03-07,gcc_90,NaN
GRSM,2021-03-08,gcc_90,0.006254324166580883
GRSM,2021-03-09,gcc_90,0.004842973516287704
GRSM,2021-03-10,gcc_90,0.00387864834180731
GRSM,2021-03-11,gcc_90,0.003286383618958807
GRSM,2021-03-12,gcc_90,0.002566869395991271
GRSM,2021-03-13,gcc_90,4.404424300841074e-4
GRSM,2021-03-14,gcc_90,0.0029583740160929986
GRSM,2021-03-15,gcc_90,0.0036235276056279684
GRSM,2021-03-16,gcc_90,0.0019445642085250197
GRSM,2021-03-17,gcc_90,0.0038953264883779203
GRSM,2021-03-18,gcc_90,0.001791148921094972
GRSM,2021-03-19,gcc_90,0.004380671690101345
GRSM,2021-03-20,gcc_90,0.00801892539401812
GRSM,2021-03-21,gcc_90,0.004291299204951666
GRSM,2021-03-22,gcc_90,0.005781156720497288
GRSM,2021-03-23,gcc_90,0.006123182401413114
GRSM,2021-03-24,gcc_90,0.004996078065398115
GRSM,2021-03-25,gcc_90,0.005325489626388179
GRSM,2021-03-26,gcc_90,0.005650898215633485
GRSM,2021-03-27,gcc_90,0.0033882477139124314
GRSM,2021-03-28,gcc_90,0.005169841471882819
GRSM,2021-03-29,gcc_90,0.010087769355628303
GRSM,2021-03-30,gcc_90,0.010860174443971844
GRSM,2021-03-31,gcc_90,0.005071104972625337
GRSM,2021-04-01,gcc_90,0.007374295524322998
GRSM,2021-04-02,gcc_90,0.008352850172679675
GRSM,2021-04-03,gcc_90,0.008752907763939118
GRSM,2021-04-04,gcc_90,0.011207086167710646
HARV,2021-03-01,gcc_90,0.002413889689885933
HARV,2021-03-02,gcc_90,NA
HARV,2021-03-03,gcc_90,NA
HARV,2021-03-04,gcc_90,NA
HARV,2021-03-05,gcc_90,0.0022671044975314763
HARV,2021-03-06,gcc_90,0.0022491601606559673
HARV,2021-03-07,gcc_90,0.0022278656351304186
HARV,2021-03-08,gcc_90,0.0022073404522949262
HARV,2021-03-09,gcc_90,0.002310149414529346
HARV,2021-03-10,gcc_90,0.0022188262745105594
HARV,2021-03-11,gcc_90,0.0022355138446717693
HARV,2021-03-12,gcc_90,0.0022442862743698258
HARV,2021-03-13,gcc_90,0.0022825390485960305
HARV,2021-03-14,gcc_90,0.0022626794711672485
HARV,2021-03-15,gcc_90,0.0023807126801001018
HARV,2021-03-16,gcc_90,0.0022927920706501004
HARV,2021-03-17,gcc_90,0.002255142034944642
HARV,2021-03-18,gcc_90,0.0022199613009874115
HARV,2021-03-19,gcc_90,0.002638676008641476
HARV,2021-03-20,gcc_90,0.0019458966022429297
HARV,2021-03-21,gcc_90,0.001894037457099261
HARV,2021-03-22,gcc_90,0.0031972007691009057
HARV,2021-03-23,gcc_90,0.0023689448927188194
HARV,2021-03-24,gcc_90,0.0023012622925425853
HARV,2021-03-25,gcc_90,0.0022825390485960305
HARV,2021-03-26,gcc_90,0.0024411713714266054
HARV,2021-03-27,gcc_90,0.00223340980760298
HARV,2021-03-28,gcc_90,0.0026893158890279774
HARV,2021-03-29,gcc_90,0.0022845660529849975
HARV,2021-03-30,gcc_90,0.0022815026042260827
HARV,2021-03-31,gcc_90,0.0022700525530658993
HARV,2021-04-01,gcc_90,0.0021774853103750363
HARV,2021-04-02,gcc_90,0.0023841418811086914
HARV,2021-04-03,gcc_90,0.0023961570065164535
HARV,2021-04-04,gcc_90,0.0022637508391455496
SCBI,2021-03-01,gcc_90,0.002078286036813814
SCBI,2021-03-02,gcc_90,0.0030271340401622905
SCBI,2021-03-03,gcc_90,0.0016956529418227111
SCBI,2021-03-04,gcc_90,0.002043152784153314
SCBI,2021-03-05,gcc_90,0.002595273038894991
SCBI,2021-03-06,gcc_90,0.002052168642894746
SCBI,2021-03-07,gcc_90,0.0024446280395557197
SCBI,2021-03-08,gcc_90,0.0029224698912390986
SCBI,2021-03-09,gcc_90,0.002592439689682311
SCBI,2021-03-10,gcc_90,0.0024165004963347843
SCBI,2021-03-11,gcc_90,0.0018929736426357576
SCBI,2021-03-12,gcc_90,0.002603856698348862
SCBI,2021-03-13,gcc_90,0.0037260509479908627
SCBI,2021-03-14,gcc_90,0.0038705710595323215
SCBI,2021-03-15,gcc_90,0.0031327114499710177
SCBI,2021-03-16,gcc_90,0.004173931956959587
SCBI,2021-03-17,gcc_90,0.0030942803393800605
SCBI,2021-03-18,gcc_90,0.0035974167594418497
SCBI,2021-03-19,gcc_90,0.007212535902796617
SCBI,2021-03-20,gcc_90,0.006831651286281006
SCBI,2021-03-21,gcc_90,0.006592510118893585
SCBI,2021-03-22,gcc_90,0.007115310797886699
SCBI,2021-03-23,gcc_90,0.005393763638827337
SCBI,2021-03-24,gcc_90,0.004214055423273245
SCBI,2021-03-25,gcc_90,0.005018862299284976
SCBI,2021-03-26,gcc_90,0.006834799756013723
SCBI,2021-03-27,gcc_90,0.0070230001313332365
SCBI,2021-03-28,gcc_90,0.00728252421321436
SCBI,2021-03-29,gcc_90,0.00995285164049834
SCBI,2021-03-30,gcc_90,0.012080216349363036
SCBI,2021-03-31,gcc_90,0.009275477805775596
SCBI,2021-04-01,gcc_90,0.008920812041585888
SCBI,2021-04-02,gcc_90,0.012758060674514956
SCBI,2021-04-03,gcc_90,0.0160386045910241
SCBI,2021-04-04,gcc_90,0.019757182848118116
STEI,2021-03-01,gcc_90,0.0016665148801152108
STEI,2021-03-02,gcc_90,0.0015906653293407409
STEI,2021-03-03,gcc_90,0.0016101017575508567
STEI,2021-03-04,gcc_90,0.0029230717564258614
STEI,2021-03-05,gcc_90,0.0016272849513252181
STEI,2021-03-06,gcc_90,0.0016474016981615368
STEI,2021-03-07,gcc_90,0.001671119785029996
STEI,2021-03-08,gcc_90,0.001715410076724849
STEI,2021-03-09,gcc_90,0.0017519275435745672
STEI,2021-03-10,gcc_90,0.0021899454263241327
STEI,2021-03-11,gcc_90,0.00200468307400249
STEI,2021-03-12,gcc_90,0.0015661293311392509
STEI,2021-03-13,gcc_90,0.001773968822681703
STEI,2021-03-14,gcc_90,0.0016747434384518367
STEI,2021-03-15,gcc_90,0.001671994196393875
STEI,2021-03-16,gcc_90,0.0014991898399141924
STEI,2021-03-17,gcc_90,0.001667137166891289
STEI,2021-03-18,gcc_90,0.0016896765034685227
STEI,2021-03-19,gcc_90,0.0015820576891750315
STEI,2021-03-20,gcc_90,0.001606803731778639
STEI,2021-03-21,gcc_90,0.0017143930568824619
STEI,2021-03-22,gcc_90,0.0016978266032699882
STEI,2021-03-23,gcc_90,0.001756841787057913
STEI,2021-03-24,gcc_90,0.0017235354212379894
STEI,2021-03-25,gcc_90,0.0016371515629425883
STEI,2021-03-26,gcc_90,0.0017312889161724661
STEI,2021-03-27,gcc_90,0.001674142334677076
STEI,2021-03-28,gcc_90,0.0017052423273601013
STEI,2021-03-29,gcc_90,0.001781867113535024
STEI,2021-03-30,gcc_90,0.0017867082280145648
STEI,2021-03-31,gcc_90,0.001588146936654536
STEI,2021-04-01,gcc_90,0.0016637675520317099
STEI,2021-04-02,gcc_90,0.001854268438225816
STEI,2021-04-03,gcc_90,0.0017798059348740076
STEI,2021-04-04,gcc_90,0.0018457067789442424
UKFS,2021-03-01,gcc_90,6.626012622895914e-4
UKFS,2021-03-02,gcc_90,7.896482975729346e-4
UKFS,2021-03-03,gcc_90,8.498893453583097e-4
UKFS,2021-03-04,gcc_90,0.0011013726178834555
UKFS,2021-03-05,gcc_90,8.545399773463697e-4
UKFS,2021-03-06,gcc_90,9.336576810876696e-4
UKFS,2021-03-07,gcc_90,0.0011012004772281588
UKFS,2021-03-08,gcc_90,0.004989551061002337
UKFS,2021-03-09,gcc_90,0.0012301140714639617
UKFS,2021-03-10,gcc_90,0.0013671042376134734
UKFS,2021-03-11,gcc_90,0.0013783326156762495
UKFS,2021-03-12,gcc_90,0.0020886068043003444
UKFS,2021-03-13,gcc_90,0.0019167852481574584
UKFS,2021-03-14,gcc_90,0.005769315728524442
UKFS,2021-03-15,gcc_90,0.0018090286318336263
UKFS,2021-03-16,gcc_90,0.00169399415960933
UKFS,2021-03-17,gcc_90,0.0021872961687717475
UKFS,2021-03-18,gcc_90,0.003882680334827813
UKFS,2021-03-19,gcc_90,0.0011268842931422426
UKFS,2021-03-20,gcc_90,0.00157431056219914
UKFS,2021-03-21,gcc_90,0.0032655309163212463
UKFS,2021-03-22,gcc_90,0.002535641980640018
UKFS,2021-03-23,gcc_90,0.0021803518667416638
UKFS,2021-03-24,gcc_90,0.002417805043108342
UKFS,2021-03-25,gcc_90,0.002265081403351724
UKFS,2021-03-26,gcc_90,0.0038672911109251477
UKFS,2021-03-27,gcc_90,0.00242430348696176
UKFS,2021-03-28,gcc_90,0.002164508378310702
UKFS,2021-03-29,gcc_90,0.00223913347329645
UKFS,2021-03-30,gcc_90,0.002473099678997552
UKFS,2021-03-31,gcc_90,0.002692756800531791
UKFS,2021-04-01,gcc_90,0.003576691133667505
UKFS,2021-04-02,gcc_90,0.0036856031502104144
UKFS,2021-04-03,gcc_90,0.002526208556825664
UKFS,2021-04-04,gcc_90,0.002370997504958277
