table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
2DWSD_30min,windSpeedPersistencePassQM,"Wind speed quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedPersistenceNAQM,"Wind speed quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedNullFailQM,"Wind speed quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedNullPassQM,"Wind speed quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedNullNAQM,"Wind speed quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedGapFailQM,"Wind speed quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedGapPassQM,"Wind speed quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedGapNAQM,"Wind speed quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedSensorErrorFailQM,"Wind speed quality metric that summarizes the failed outcomes of the sensor error test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedSensorErrorPassQM,"Wind speed quality metric that summarizes the passed outcomes of the sensor error test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedSensorErrorNAQM,"Wind speed quality metric that summarizes when the sensor error test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedValidCalFailQM,"Wind speed quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedValidCalPassQM,"Wind speed quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedValidCalNAQM,"Wind speed quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedAlphaQM,"Wind speed quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedBetaQM,"Wind speed quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedCalmWindQF,"Wind speed quality flag for the calm wind test, as detailed in NEON.DOC.000780 (1=fail, 0=pass, -1=NA (i.e., could not be run))",signed integer,NA,expanded,integer,NA,NA
2DWSD_30min,windSpeedFinalQF,"Wind speed quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic,integer,NA,NA
2DWSD_30min,windSpeedFinalQFSciRvw,"Wind speed quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)",unsigned integer,NA,expanded,integer,NA,NA
2DWSD_30min,windDirMean,Arithmetic mean of wind direction,real,degree,basic,*.##(round),NA,NA
2DWSD_30min,windDirVariance,Variance in wind direction,real,degreesSquared,basic,*.##(round),NA,NA
2DWSD_30min,windDirNumPts,Number of points used to calculate the arithmetic mean of wind direction,real,number,basic,*.##(round),NA,NA
2DWSD_30min,windDirExpUncert,Expanded uncertainty for wind direction,real,degree,basic,*.##(round),NA,NA
2DWSD_30min,windDirStdErMean,Standard error of the mean for wind direction,real,degree,basic,*.##(round),NA,NA
2DWSD_30min,windDirPersistenceFailQM,"Wind direction quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirPersistencePassQM,"Wind direction quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirPersistenceNAQM,"Wind direction quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirNullFailQM,"Wind direction quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirNullPassQM,"Wind direction quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirNullNAQM,"Wind direction quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirGapFailQM,"Wind direction quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirGapPassQM,"Wind direction quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirGapNAQM,"Wind direction quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirSensorErrorFailQM,"Wind direction quality metric that summarizes the failed outcomes of the sensor error test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirSensorErrorPassQM,"Wind direction quality metric that summarizes the passed outcomes of the sensor error test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirSensorErrorNAQM,"Wind direction quality metric that summarizes when the sensor error test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirDistortedFlowFailQM,"Wind direction quality metric that summarizes the failed outcomes of the distorted flow test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirDistortedFlowPassQM,"Wind direction quality metric that summarizes the passed outcomes of the distorted flow test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirDistortedFlowNAQM,"Wind direction quality metric that summarizes when the distorted flow test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirValidCalFailQM,"Wind direction quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirValidCalPassQM,"Wind direction quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirValidCalNAQM,"Wind direction quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirAlphaQM,"Wind direction quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirBetaQM,"Wind direction quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windDirCalmWindQF,"Wind direction quality flag for the calm wind test, as detailed in NEON.DOC.000780 (1=fail, 0=pass, -1=NA (i.e., could not be run))",signed integer,NA,expanded,integer,NA,NA
2DWSD_30min,windDirFinalQF,"Wind direction quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic,integer,NA,NA
2DWSD_30min,windDirFinalQFSciRvw,"Wind direction quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)",unsigned integer,NA,expanded,integer,NA,NA
2DWSD_30min,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,NA
2DWSD_30min,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,NA
