date,siteID,daily_mean,daily_min,daily_max,daily_var,midday_mean,midday_min,midday_max,midday_var,midday_expuncert,midday_meanstderr
2017-04-03,HARV,6.569103646,-0.5512,13.9058,0.012198989,3.64395625,-0.418,6.7646,0.7936,0.1429,0.021
2017-04-04,HARV,3.773683333,0.9682,9.8837,0.002743848,2.87206875,1.8068,3.8564,0.0129,0.1359,0.0027
2017-04-05,HARV,3.171782813,-0.5448,8.839,0.001112278,0.7875375,-0.4043,2.1893,0.0162,0.1352,0.003
2017-04-06,HARV,1.838056771,-0.1712,8.0599,0.109295471,0.7199,-0.1712,1.5617,0.0026,0.1349,0.0012
2017-04-07,HARV,5.385031771,1.5048,18.7337,11.77514771,6.06745,5.059,11.3288,1.7437,0.157,0.0365
2017-04-08,HARV,2.47442129,-1.5661,27.7579,44.68014628,0.656691667,-0.2986,8.0196,1.5,0.1511,0.0312
2017-04-09,HARV,9.306349306,-1.5711,43.7753,938.0832449,4.7884,0.8688,25.253,60.7861,1.1177,0.5541
2017-04-10,HARV,16.5217105,7.4356,43.3657,503.9242537,10.46789167,8.5086,26.6909,7.2184,0.2038,0.0713
2017-04-11,HARV,18.87447792,8.2784,31.8448,0.035426589,14.361755,9.0979,19.4983,1.3659,0.1507,0.0275
2017-04-12,HARV,14.88191167,7.6978,22.9023,0.015466866,15.02598,10.7097,18.075,0.3888,0.145,0.0147
2017-04-13,HARV,7.176515833,1.1746,15.9691,0.013876476,4.38453,3.7781,5.6352,0.0864,0.1373,0.0069
2017-04-14,HARV,8.272187083,-1.2238,19.2175,0.022910744,5.954205,0.8395,8.9445,0.7088,0.142,0.0198
2017-04-15,HARV,9.810318333,-1.3623,22.1507,0.046578165,7.045935,0.5727,11.1278,1.7132,0.1508,0.0309
2017-04-16,HARV,17.19595375,8.2024,30.5841,0.098034175,13.51051,10.1855,17.2768,0.3203,0.1438,0.0133
2017-04-17,HARV,15.61953,9.6921,20.9889,0.015893578,14.881515,12.287,17.3477,0.2193,0.1432,0.011
2017-04-18,HARV,7.826468333,0.4193,16.729,0.03926745,3.94586,1.7142,6.1096,0.1242,0.1373,0.0083
2017-04-19,HARV,4.925452083,-0.518,14.4914,0.018092443,2.667805,-0.2451,6.0193,0.5204,0.1393,0.017
2017-04-20,HARV,8.590913333,3.243,18.0073,0.012387542,6.090965,5.3008,7.7731,0.0639,0.138,0.006
